# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	736
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
a 	啊	c=2 d=1.27565 t=395
a 	錒	c=0 d=0.1 t=618
a 	阿	c=1 d=1 t=560
ai 	唉	c=2 d=1.29229 t=293
an wu tian ri 	暗無天日	c=1 d=1 t=408
an zhuang 	安裝	c=7 d=2.96909 t=734
an zu ang 	按組昂	c=1 d=1 t=312
ba 	吧	c=2 d=1.20391 t=448
ba 	把	c=6 d=2.51754 t=688
ban fa 	辦法	c=1 d=1 t=635
bao cun 	保存	c=1 d=1 t=542
bao liu 	保留	c=0 d=0.1 t=213
bao liu le 	保留了	c=1 d=1 t=214
bei fen 	備份	c=6 d=5.60737 t=170
bei feng 	被封	c=2 d=1.956 t=162
ben 	本	c=2 d=1.26448 t=385
ben di 	本地	c=2 d=1.40052 t=406
beng 	泵	c=0 d=0.1 t=383
bi ji 	筆記	c=1 d=1.01836 t=722
bi ji beng 	筆記泵	c=1 d=1 t=384
bi jiao 	比較	c=1 d=1 t=201
bi jiao hao 	比較好	c=1 d=1 t=319
bian cheng 	編程	c=1 d=1 t=671
bian cheng 	變成	c=1 d=1 t=669
bian ji qi 	編輯器	c=1 d=1 t=716
bian xie 	編寫	c=1 d=1 t=674
bian yi 	編譯	c=3 d=2.94058 t=736
bian yi an zhuang 	編譯安裝	c=1 d=1 t=735
bian yi hao de 	編譯好的	c=1 d=1 t=689
biao da shi 	表達式	c=1 d=1 t=500
bie 	別	c=0 d=0.1 t=466
bie zhe teng 	別折騰	c=1 d=1 t=467
bing 	並	c=2 d=1.99501 t=609
bo fang 	播放	c=1 d=1 t=371
bu 	不	c=0 d=0.120291 t=381
bu cuo 	不錯	c=0 d=0.104954 t=643
bu fen 	部分	c=1 d=1 t=135
bu gua 	不掛	c=0 d=0.1 t=246
bu gua zai 	不掛載	c=1 d=1 t=247
bu hao 	不好	c=1 d=1 t=729
bu hao hao xue xi 	不好好學習	c=1 d=1 t=63
bu neng 	不能	c=1 d=1 t=290
bu yong 	不用	c=1 d=1 t=158
bu zhe teng 	不折騰	c=1 d=1 t=382
ca shi 	擦拭	c=0 d=0.1 t=8
ca shi zhe 	擦拭這	c=1 d=1 t=9
cai a 	菜啊	c=1 d=1 t=446
cai shi chang 	菜市場	c=0 d=0.1 t=618
cai shi chang a 	菜市場錒	c=1 d=1 t=619
cang ku 	倉庫	c=2 d=1.92312 t=224
cha bie 	差別	c=1 d=1 t=206
cha bu duo le 	差不多了	c=1 d=1 t=128
cha jian 	插件	c=1 d=1 t=712
cha ju 	差距	c=1 d=1 t=449
cha kan 	查看	c=4 d=2.19147 t=453
chong qi 	重啓	c=1 d=1 t=242
chong tu 	衝突	c=1 d=1 t=254
chong zhuang 	重裝	c=4 d=2.58041 t=216
chu li 	處理	c=2 d=1.35711 t=354
chu xian 	出現	c=0 d=0.1 t=691
chun a 	蠢啊	c=1 d=1 t=97
ci bei 	慈悲	c=0 d=0.1 t=4
cong zuo 	從左	c=1 d=1 t=486
cun shang 	村上	c=1 d=1 t=6
cun zai 	存在	c=1 d=1.09851 t=369
cuo wu 	錯誤	c=2 d=1.72979 t=694
da 	大	c=0 d=0.1 t=449
da bao 	打包	c=2 d=1.0599 t=724
da jian 	搭建	c=3 d=1.91171 t=621
da kai 	打開	c=2 d=1.64082 t=683
da lao 	大佬	c=1 d=1 t=436
da suan 	打算	c=1 d=1.06079 t=532
da xiao 	大小	c=2 d=1.76338 t=198
dai le 	帶了	c=1 d=1 t=412
dai ma 	代碼	c=2 d=1.16819 t=578
dai ma kuai 	代碼塊	c=1 d=1 t=579
dan du 	單獨	c=0 d=0.1 t=592
dan du she zhi 	單獨設置	c=1 d=1 t=593
dan shi 	但是	c=2 d=1.28083 t=429
dang qian 	當前	c=1 d=1 t=423
dang wu zhi ji 	當務之急	c=1 d=1 t=655
dao 	到	c=0 d=0.1 t=224
de 	的	c=16 d=5.391 t=714
de shi 	的事	c=0 d=0.1 t=470
deng 	等	c=2 d=1.90484 t=150
deng ju 	等距	c=2 d=1.9802 t=565
deng xia 	燈下	c=1 d=1 t=149
di 	第	c=1 d=1 t=104
