# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2795
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
a 	啊	c=8 d=0.345862 t=2795
a 	錒	c=0 d=0.0554327 t=2795
a 	阿	c=3 d=0.414783 t=2795
a a a 	啊啊啊	c=1 d=1 t=1794
ai 	唉	c=2 d=0.141058 t=2795
ai 	愛	c=1 d=1 t=1713
ai qing 	愛情	c=1 d=1 t=982
an 	按	c=1 d=1 t=1376
an hui sheng 	安徽省	c=1 d=1 t=2029
an quan 	安全	c=2 d=1.9802 t=1999
an wu tian ri 	暗無天日	c=1 d=0.19398 t=2795
an zhuang 	安裝	c=30 d=2.93955 t=2795
an zhuo 	安卓	c=0 d=0.1 t=1841
an zhuo shou ji 	安卓手機	c=1 d=1 t=1842
an zu ang 	按組昂	c=2 d=0.120032 t=2795
ba 	八	c=2 d=1.92774 t=2591
ba 	吧	c=5 d=0.47867 t=2795
ba 	把	c=8 d=1.98037 t=2795
ba ge 	八個	c=1 d=1 t=2116
bai du 	百度	c=1 d=1 t=2766
ban 	半	c=1 d=1 t=2636
ban 	版	c=2 d=1.30728 t=1971
ban ben 	版本	c=2 d=1.1367 t=1765
ban fa 	辦法	c=1 d=0.603506 t=2795
ban tian 	半天	c=1 d=1 t=2682
bang ji le 	棒極了	c=1 d=1 t=2472
bao cun 	保存	c=1 d=0.379083 t=2795
bao hu 	保護	c=0 d=0.1 t=2003
bao hu mo shi 	保護模式	c=1 d=1 t=2385
bao kuo 	包括	c=2 d=1.02522 t=1905
bao le 	爆了	c=1 d=1 t=1888
bao liu 	保留	c=0 d=0.00731678 t=2795
bao liu le 	保留了	c=1 d=0.0735345 t=2795
bei 	被	c=1 d=1 t=2353
bei 	貝	c=1 d=1 t=1159
bei fen 	備份	c=7 d=0.330907 t=2795
bei feng 	被封	c=2 d=0.110903 t=2795
bei jing 	背景	c=1 d=1 t=892
bei jing da xue 	北京大學	c=1 d=1 t=2328
ben 	本	c=4 d=0.218638 t=2795
ben di 	本地	c=2 d=0.26897 t=2795
ben shen 	本身	c=2 d=1.9802 t=1284
ben zhi 	本質	c=1 d=1 t=2758
beng 	泵	c=0 d=0.0171187 t=2795
bi 	比	c=0 d=0.1 t=2732
bi ji 	筆記	c=5 d=0.949513 t=2795
bi ji beng 	筆記泵	c=2 d=0.172045 t=2795
bi ji le 	筆記了	c=1 d=1 t=2473
bi jiao 	比較	c=3 d=0.0689068 t=2795
bi jiao hao 	比較好	c=1 d=0.124307 t=2795
bi jiao hao de 	比較好的	c=1 d=1 t=2733
bi jing 	畢竟	c=1 d=1 t=2538
bi mian 	避免	c=0 d=0.1 t=2373
bi mian le 	避免了	c=2 d=1.98511 t=2377
bi sai 	比賽	c=2 d=0.901235 t=1429
bi sai de 	比賽的	c=1 d=1 t=1430
bi xu 	必須	c=0 d=0.1 t=873
bi xu shi 	必須是	c=2 d=1.10383 t=1327
bi yao 	必要	c=1 d=1 t=1568
bi zhi 	壁紙	c=1 d=1 t=2205
bian 	變	c=1 d=1 t=2352
bian cheng 	編程	c=7 d=0.722527 t=2795
bian cheng 	變成	c=1 d=0.715338 t=2795
bian ji 	編輯	c=0 d=0.1 t=1649
bian ji hou 	編輯後	c=1 d=1 t=1650
bian ji qi 	編輯器	c=1 d=0.904837 t=2795
bian liang 	變量	c=3 d=3.00079 t=2366
bian xie 	編寫	c=7 d=0.733447 t=2795
bian yi 	編譯	c=15 d=2.94058 t=2795
bian yi an zhuang 	編譯安裝	c=1 d=0.995012 t=2795
bian yi hao de 	編譯好的	c=1 d=0.790571 t=2795
bian yi le 	編譯了	c=1 d=1 t=1764
bian yi wei 	編譯爲	c=1 d=1 t=1488
bian yi yuan li 	編譯原理	c=4 d=1.61538 t=2276
biao 	標	c=1 d=1 t=934
biao da 	表達	c=1 d=1 t=2676
biao da shi 	表達式	c=1 d=0.307279 t=2795
biao shi 	表示	c=1 d=1 t=2698
bie 	別	c=0 d=0.025924 t=2795
bie ren 	別人	c=1 d=1 t=1553
bie ren de 	別人的	c=0 d=0.1 t=1466
bie xiang zhe 	別想着	c=1 d=1 t=2468
bie zhe teng 	別折騰	c=1 d=0.26054 t=2795
bing 	並	c=5 d=1.05723 t=2795
bing fa 	併發	c=4 d=2.11522 t=2407
bing xing 	並行	c=1 d=1 t=1941
bo fang 	播放	c=1 d=0.161218 t=2795
bo ke 	博客	c=4 d=1.3251 t=2560
bo wen 	博文	c=1 d=1 t=1171
bu 	不	c=2 d=0.0573846 t=2795
bu cheng 	不成	c=1 d=1 t=1512
bu chu lai 	不出來	c=0 d=0.103035 t=2494
bu cuo 	不錯	c=0 d=0.0659253 t=2795
bu cuo de 	不錯的	c=1 d=1 t=1128
bu duo 	不多	c=0 d=0.1 t=997
bu duo shuo le 	不多說了	c=1 d=1 t=998
bu fen 	部分	c=5 d=1.61204 t=2795
bu gua 	不掛	c=0 d=0.00862936 t=2795
bu gua zai 	不掛載	c=1 d=0.0867261 t=2795
bu guo 	不過	c=1 d=1 t=2111
bu hao 	不好	c=2 d=0.965605 t=2795
bu hao hao xue xi 	不好好學習	c=2 d=0.034562 t=2795
bu hao ka men 	不好卡門	c=1 d=1 t=2772
bu hui 	不會	c=2 d=1.24414 t=2161
bu ke 	不可	c=1 d=1 t=2351
bu neng 	不能	c=3 d=0.34705 t=2795
bu neng fang wen 	不能訪問	c=1 d=1 t=783
bu quan 	補全	c=2 d=1.17119 t=1582
bu shi 	不是	c=0 d=0.156553 t=2587
bu shuo 	不說	c=0 d=0.1 t=1056
bu shuo le 	不說了	c=1 d=1 t=1057
bu suan zi 	卜算子	c=3 d=2.52799 t=1150
bu tai hao 	不太好	c=1 d=1 t=2245
bu xiang 	不想	c=1 d=1 t=2250
bu yao 	不要	c=0 d=0.1 t=2208
bu yao xiang zhe 	不要想着	c=1 d=1 t=2209
bu yi yang 	不一樣	c=2 d=1.28083 t=1395
bu yong 	不用	c=1 d=0.0555762 t=2795
bu zhe teng 	不折騰	c=1 d=0.170333 t=2795
bu zhi dao 	不知道	c=2 d=1.00985 t=2108
bu zhou 	步驟	c=0 d=0.1 t=2089
ca shi 	擦拭	c=0 d=0.00262523 t=2795
ca shi zhe 	擦拭這	c=1 d=0.0263839 t=2795
cai a 	菜啊	c=1 d=0.23457 t=2795
cai shi chang 	菜市場	c=0 d=0.0554327 t=2795
cai shi chang a 	菜市場錒	c=1 d=0.557106 t=2795
cai you 	纔有	c=0 d=0.1 t=2557
cai you kai shi 	纔有開始	c=1 d=1 t=2558
cai zhi dao 	才知道	c=1 d=1 t=2515
can 	參	c=1 d=1 t=2372
can jia 	參加	c=0 d=0.1 t=1057
can kao 	參考	c=1 d=1 t=1731
can kui 	慚愧	c=0 d=0.1 t=2548
can shu 	參數	c=3 d=1.01084 t=2704
cang ku 	倉庫	c=2 d=0.148666 t=2795
cao 	草	c=1 d=1 t=1515
cao zuo 	操作	c=5 d=2.00527 t=2027
cao zuo xi tong 	操作系統	c=12 d=3.65242 t=2409
ce lve 	策略	c=1 d=1 t=2643
ce shi 	測試	c=1 d=1 t=2298
ce su 	測速	c=1 d=1 t=2234
cha bie 	差別	c=1 d=0.0706512 t=2795
cha bu duo le 	差不多了	c=1 d=0.0478349 t=2795
cha jian 	插件	c=3 d=0.88692 t=2795
cha ju 	差距	c=1 d=0.238115 t=2795
cha kan 	查看	c=8 d=0.532364 t=2795
cha kan hou de dao 	查看後得到	c=1 d=1 t=1453
cha kan wen jian 	查看文件	c=1 d=1 t=1840
cha ru 	插入	c=7 d=1.62709 t=2322
cha yue 	查閱	c=0 d=0.1 t=1113
cha yue zhi hou 	查閱之後	c=1 d=1 t=1114
cha zhao 	查找	c=0 d=0.1 t=2726
cha zhao le 	查找了	c=1 d=1 t=2727
chan pin 	產品	c=1 d=1 t=1782
chan shu 	闡述	c=0 d=0.1 t=2670
chang 	常	c=1 d=1 t=2369
chang du 	長度	c=2 d=1.1054 t=2767
chang liang 	常量	c=0 d=0.1 t=2359
chang liang de 	常量的	c=1 d=1 t=2360
chao 	抄	c=1 d=1 t=1440
chao 	炒	c=1 d=1 t=1438
che xiao 	撤銷	c=1 d=1 t=1780
cheng 	成	c=1 d=1 t=1310
cheng 	程	c=2 d=1.19989 t=2313
cheng gong 	成功	c=2 d=1.90937 t=2174
cheng xu 	程序	c=1 d=1 t=1935
chong gou 	重構	c=1 d=1 t=849
chong qi 	重啓	c=1 d=0.0845849 t=2795
chong tu 	衝突	c=1 d=0.0898153 t=2795
chong xin 	重新	c=1 d=1 t=1386
chong zhuang 	重裝	c=4 d=0.191656 t=2795
chou xiang 	抽象	c=4 d=2.97087 t=2754
chu 	出	c=2 d=1.0004 t=2743
chu cuo 	出錯	c=2 d=1.19593 t=1792
chu le 	出了	c=1 d=1 t=1806
chu li 	處理	c=6 d=0.200961 t=2795
chu li zhi hou 	處理之後	c=1 d=1 t=1478
chu shi 	初始	c=1 d=1 t=2316
chu shi hua 	初始化	c=1 d=1 t=2489
chu tan 	初探	c=1 d=1 t=1698
chu xian 	出現	c=2 d=0.0798516 t=2795
chuan di 	傳遞	c=1 d=1 t=2002
chuang kou 	窗口	c=0 d=0.1 t=2234
chuang kou guan li 	窗口管理	c=1 d=1 t=2235
chun a 	蠢啊	c=1 d=0.0409665 t=2795
ci bei 	慈悲	c=0 d=0.00257325 t=2795
ci fa 	詞法	c=2 d=1.1979 t=2047
ci pan 	磁盤	c=2 d=1.19005 t=2188
ci pan na lai 	磁盤拿來	c=1 d=1 t=2189
cong 	從	c=2 d=1.0047 t=2739
cong zuo 	從左	c=1 d=0.286505 t=2795
cun shang 	村上	c=1 d=0.0259911 t=2795
cun zai 	存在	c=2 d=0.175337 t=2795
cuo wu 	錯誤	c=3 d=1.40214 t=2795
da 	大	c=0 d=0.0238115 t=2795
da ban 	大半	c=1 d=1 t=2426
da bao 	打包	c=2 d=0.998176 t=2795
da bu kai 	打不開	c=0 d=0.1 t=910
da bu kai le 	打不開了	c=1 d=1 t=911
da jian 	搭建	c=14 d=1.07573 t=2795
da jiao 	大叫	c=1 d=1 t=777
da kai 	打開	c=7 d=1.25885 t=2795
da lao 	大佬	c=1 d=0.22313 t=2795
da lao de 	大佬的	c=1 d=1 t=1882
da shu ju 	大數據	c=2 d=1.93707 t=1062
da suan 	打算	c=2 d=0.461225 t=2795
da suan kan wan 	打算看完	c=1 d=1 t=2649
da xiao 	大小	c=2 d=0.1197 t=2795
da yin 	打印	c=1 d=1 t=2115
dai 	帶	c=1 d=1 t=1789
dai biao 	代表	c=4 d=3.80256 t=1680
dai le 	帶了	c=1 d=0.197899 t=2795
dai ma 	代碼	c=9 d=0.530177 t=2795
dai ma he 	代碼和	c=1 d=1 t=1351
dai ma kuai 	代碼塊	c=1 d=0.45612 t=2795
dan 	單	c=1 d=0.187332 t=1611
dan du 	單獨	c=0 d=0.0486752 t=2795
dan du she zhi 	單獨設置	c=1 d=0.489192 t=2795
dan lian biao 	單鏈表	c=1 d=1 t=1612
dan nei he 	單內核	c=2 d=1.99005 t=821
dan shi 	但是	c=8 d=1.30918 t=2795
dan shi wo 	但是我	c=1 d=1 t=1464
dang 	當	c=5 d=4.70788 t=1676
dang qian 	當前	c=1 d=0.209088 t=2795
dang ran 	當然	c=1 d=1 t=2455
dang shi 	當時	c=2 d=1.02004 t=2605
dang wu zhi ji 	當務之急	c=1 d=0.666977 t=2795
dao 	到	c=1 d=0.392001 t=2795
dao le 	到了	c=1 d=1 t=1168
dao lun 	導論	c=0 d=0.1 t=1879
dao ti 	道題	c=1 d=1 t=2662
dao zhi 	導致	c=1 d=1 t=1886
de 	的	c=63 d=7.24351 t=2795
de dao 	得到	c=3 d=1.72998 t=1604
de shi 	的事	c=0 d=0.0264477 t=2795
deng 	等	c=3 d=0.152593 t=2795
deng ju 	等距	c=2 d=0.842146 t=2795
deng xia 	燈下	c=1 d=0.0531307 t=2795
deng yu 	等於	c=1 d=1 t=1297
